Attack Type,Target Industry,Number of Affected Users,Attack Source,Security Vulnerability Type,Incident Resolution Time (in Hours),Financial Loss (in Million $)
SQL Injection,Healthcare,730762,Insider,Social Engineering,19,23.15
Malware,Government,91194,Hacker Group,Unpatched Software,72,66.19
SQL Injection,Banking,42883,Unknown,Zero-day,37,95.81
SQL Injection,Retail,422592,Nation-state,Unpatched Software,37,48.33
Man-in-the-Middle,Healthcare,837320,Unknown,Social Engineering,14,29.54
Phishing,Banking,708034,Unknown,Zero-day,39,44.08
Phishing,IT,47841,Hacker Group,Weak Passwords,23,91.71
SQL Injection,Banking,274703,Nation-state,Social Engineering,6,73.94
Malware,Healthcare,776819,Insider,Unpatched Software,64,10.35
Man-in-the-Middle,IT,544648,Unknown,Weak Passwords,47,89.6
Man-in-the-Middle,Government,735203,Insider,Zero-day,66,11.99
SQL Injection,Education,424342,Unknown,Social Engineering,57,77.02
Malware,Retail,155353,Unknown,Weak Passwords,67,78.82
DDoS,Banking,735855,Insider,Unpatched Software,23,64.64
Man-in-the-Middle,IT,765453,Unknown,Social Engineering,39,11.91
SQL Injection,Education,788243,Insider,Social Engineering,38,82.52
Phishing,Banking,253058,Hacker Group,Social Engineering,44,69.85
Phishing,Healthcare,537530,Nation-state,Zero-day,14,80.11
SQL Injection,Banking,95779,Nation-state,Zero-day,43,2.46
Phishing,Healthcare,906160,Unknown,Zero-day,48,59.79
Ransomware,Education,490910,Insider,Zero-day,58,11.06
SQL Injection,Banking,522097,Hacker Group,Weak Passwords,63,73.69
Man-in-the-Middle,Retail,218143,Nation-state,Unpatched Software,27,53.57
Malware,IT,667023,Unknown,Zero-day,26,30.2
Malware,Education,362308,Unknown,Social Engineering,5,67.23
DDoS,IT,717258,Insider,Unpatched Software,16,86.81
Man-in-the-Middle,Retail,984,Insider,Unpatched Software,56,76.39
DDoS,Telecommunications,956064,Insider,Weak Passwords,45,96.61
Malware,Retail,891367,Nation-state,Social Engineering,21,64.3
Man-in-the-Middle,IT,842637,Nation-state,Unpatched Software,55,79.33
DDoS,IT,772018,Hacker Group,Weak Passwords,46,45.91
Malware,IT,945897,Insider,Weak Passwords,66,41.67
SQL Injection,Banking,508544,Insider,Unpatched Software,45,81.33
Ransomware,Healthcare,125309,Unknown,Social Engineering,13,91.8
Man-in-the-Middle,IT,529410,Insider,Zero-day,59,3.69
Phishing,Education,665381,Insider,Unpatched Software,61,24.25
Man-in-the-Middle,Telecommunications,163110,Nation-state,Zero-day,35,89.5
Ransomware,IT,354784,Hacker Group,Social Engineering,65,60.24
Ransomware,Education,643306,Hacker Group,Zero-day,50,7.65
Malware,Telecommunications,23249,Insider,Social Engineering,1,44.93
SQL Injection,Retail,763017,Insider,Social Engineering,24,26.98
Ransomware,Retail,71334,Unknown,Unpatched Software,26,84.08
SQL Injection,Government,605470,Nation-state,Unpatched Software,18,99.2
SQL Injection,Government,356387,Nation-state,Zero-day,11,40.63
Malware,IT,260907,Insider,Weak Passwords,31,11.89
Man-in-the-Middle,IT,560693,Hacker Group,Weak Passwords,1,73.71
Phishing,IT,82841,Insider,Social Engineering,36,16.44
Malware,Government,262500,Nation-state,Social Engineering,27,51.05
Malware,IT,116201,Nation-state,Zero-day,14,49.13
Phishing,IT,44473,Unknown,Weak Passwords,67,17.06
Ransomware,IT,372975,Hacker Group,Weak Passwords,64,93.15
DDoS,Government,613192,Insider,Weak Passwords,50,66.4
SQL Injection,Government,421023,Insider,Unpatched Software,72,20.21
Ransomware,Healthcare,818172,Unknown,Social Engineering,30,1.48
Ransomware,Education,828880,Hacker Group,Unpatched Software,69,22.77
Man-in-the-Middle,Government,487668,Hacker Group,Unpatched Software,72,56.15
Ransomware,Telecommunications,253094,Hacker Group,Unpatched Software,19,10.52
SQL Injection,Telecommunications,712886,Hacker Group,Weak Passwords,7,34.84
Phishing,IT,65176,Unknown,Weak Passwords,49,5.05
SQL Injection,IT,248356,Nation-state,Weak Passwords,25,54.59
DDoS,Education,499615,Hacker Group,Unpatched Software,19,52.36
Man-in-the-Middle,Telecommunications,446917,Unknown,Unpatched Software,1,10.2
SQL Injection,Education,164892,Insider,Weak Passwords,63,77.96
SQL Injection,IT,627852,Nation-state,Unpatched Software,23,61.97
DDoS,Banking,219846,Insider,Social Engineering,13,61.15
Malware,Education,862049,Insider,Unpatched Software,43,83.04
Man-in-the-Middle,Education,270984,Nation-state,Zero-day,28,37.18
Malware,Government,979810,Insider,Weak Passwords,34,27.09
SQL Injection,Government,944106,Insider,Unpatched Software,2,0.72
Phishing,Banking,612761,Nation-state,Unpatched Software,71,9.24
Malware,Telecommunications,813960,Hacker Group,Weak Passwords,6,8.69
DDoS,Healthcare,510895,Unknown,Weak Passwords,6,32.07
Malware,Healthcare,652957,Insider,Weak Passwords,65,71.94
Ransomware,IT,991854,Unknown,Unpatched Software,11,84.09
Ransomware,Retail,382041,Unknown,Weak Passwords,4,56.06
Man-in-the-Middle,Government,428556,Unknown,Weak Passwords,15,47.76
SQL Injection,Banking,455556,Insider,Social Engineering,1,79.34
Ransomware,Healthcare,18399,Unknown,Zero-day,14,17.58
Man-in-the-Middle,Government,984519,Nation-state,Unpatched Software,57,97.79
DDoS,Retail,740795,Hacker Group,Unpatched Software,12,75.1
SQL Injection,Telecommunications,483585,Unknown,Unpatched Software,13,39.58
Ransomware,Healthcare,989151,Unknown,Social Engineering,2,78.08
SQL Injection,Government,946613,Insider,Social Engineering,21,63.89
Ransomware,Banking,77845,Insider,Social Engineering,26,24.33
Ransomware,IT,403494,Hacker Group,Social Engineering,3,70.91
Man-in-the-Middle,Banking,524693,Unknown,Unpatched Software,63,23.32
Phishing,Education,628589,Unknown,Unpatched Software,8,9.84
Man-in-the-Middle,Healthcare,943349,Nation-state,Zero-day,5,34.29
DDoS,Retail,100633,Insider,Zero-day,53,1.58
Phishing,Government,551515,Unknown,Zero-day,37,59.64
Man-in-the-Middle,Banking,289046,Nation-state,Zero-day,41,80.97
Malware,Retail,70067,Insider,Weak Passwords,22,22.48
Phishing,Banking,366596,Insider,Weak Passwords,65,69.99
SQL Injection,IT,452476,Nation-state,Zero-day,41,51.24
SQL Injection,Banking,575065,Insider,Weak Passwords,61,70.14
Man-in-the-Middle,Education,474131,Insider,Unpatched Software,41,68.35
Phishing,Education,702702,Hacker Group,Zero-day,14,86.3
DDoS,Government,692900,Unknown,Social Engineering,72,97.18
SQL Injection,IT,654303,Hacker Group,Unpatched Software,15,92.4
Ransomware,Banking,851222,Insider,Weak Passwords,16,50.11
Man-in-the-Middle,Government,729762,Insider,Social Engineering,6,35.59
DDoS,Healthcare,388698,Nation-state,Social Engineering,35,56.89
SQL Injection,Telecommunications,293647,Nation-state,Social Engineering,37,86.79
Phishing,Government,884734,Hacker Group,Weak Passwords,6,84.49
DDoS,IT,638329,Hacker Group,Social Engineering,11,52.75
DDoS,Government,47191,Insider,Unpatched Software,28,63.63
Phishing,Retail,309021,Unknown,Unpatched Software,2,42.69
DDoS,Telecommunications,834902,Nation-state,Weak Passwords,63,15.14
DDoS,Banking,132286,Insider,Unpatched Software,66,25.81
SQL Injection,Banking,659062,Unknown,Unpatched Software,42,46.58
Malware,Telecommunications,69492,Hacker Group,Social Engineering,29,93.88
Phishing,IT,388154,Nation-state,Zero-day,29,53.07
DDoS,Government,889448,Hacker Group,Zero-day,20,24.23
Phishing,Retail,445458,Hacker Group,Unpatched Software,36,49.08
Phishing,Banking,828382,Hacker Group,Weak Passwords,4,84.5
SQL Injection,Education,362492,Insider,Weak Passwords,63,99.31
Man-in-the-Middle,Healthcare,68886,Hacker Group,Weak Passwords,41,55.4
DDoS,Education,165722,Unknown,Unpatched Software,23,7.84
SQL Injection,Government,604113,Insider,Weak Passwords,7,99.72
Man-in-the-Middle,Healthcare,450466,Unknown,Unpatched Software,52,39.48
Phishing,Banking,507976,Hacker Group,Zero-day,70,1.13
DDoS,Banking,180980,Hacker Group,Unpatched Software,15,43.45
Ransomware,Healthcare,745273,Insider,Zero-day,67,37.36
SQL Injection,Telecommunications,536737,Unknown,Unpatched Software,44,94.14
SQL Injection,Banking,202102,Insider,Unpatched Software,54,65.24
DDoS,Education,134998,Unknown,Zero-day,42,80.79
Ransomware,Banking,41635,Nation-state,Unpatched Software,37,81.81
Phishing,Telecommunications,604908,Unknown,Zero-day,25,35.54
Man-in-the-Middle,IT,688016,Nation-state,Zero-day,26,88.42
Ransomware,IT,679131,Hacker Group,Weak Passwords,55,56.59
DDoS,Retail,585934,Insider,Unpatched Software,13,39.28
Man-in-the-Middle,IT,762605,Nation-state,Unpatched Software,53,88.81
Malware,Healthcare,984973,Unknown,Zero-day,30,58.9
Phishing,Education,889970,Nation-state,Unpatched Software,20,9.52
Phishing,Healthcare,376443,Insider,Zero-day,20,39.92
Phishing,Retail,699386,Nation-state,Weak Passwords,20,28.54
Man-in-the-Middle,Retail,158758,Nation-state,Zero-day,72,74.11
Man-in-the-Middle,Banking,812101,Insider,Social Engineering,52,85.26
Phishing,Telecommunications,402744,Insider,Zero-day,65,43.72
Malware,Healthcare,182338,Unknown,Social Engineering,72,77.01
Man-in-the-Middle,Banking,587213,Unknown,Weak Passwords,32,88.03
DDoS,Government,419571,Nation-state,Zero-day,72,86.65
SQL Injection,IT,772541,Nation-state,Unpatched Software,46,33.79
SQL Injection,Retail,759384,Nation-state,Unpatched Software,22,76.04
Ransomware,Government,887037,Insider,Unpatched Software,39,57.59
Ransomware,IT,788555,Insider,Unpatched Software,43,37.22
Man-in-the-Middle,Telecommunications,438137,Unknown,Unpatched Software,18,57.89
Ransomware,Government,414907,Hacker Group,Zero-day,42,3.37
Ransomware,Telecommunications,576302,Hacker Group,Zero-day,2,88.2
DDoS,IT,156275,Insider,Social Engineering,24,96.08
DDoS,Government,234154,Nation-state,Unpatched Software,42,84.36
Phishing,IT,176386,Hacker Group,Unpatched Software,63,92.58
Malware,Healthcare,775042,Unknown,Zero-day,12,27.92
Phishing,Telecommunications,992092,Hacker Group,Unpatched Software,3,46.28
Ransomware,Education,883536,Hacker Group,Unpatched Software,66,25.55
Phishing,Banking,276541,Hacker Group,Social Engineering,16,15.14
Phishing,Telecommunications,513620,Unknown,Unpatched Software,65,50.64
Phishing,Banking,397919,Nation-state,Social Engineering,22,31.73
Phishing,Telecommunications,32743,Hacker Group,Zero-day,18,73.93
Phishing,Government,318648,Insider,Zero-day,1,40.62
Ransomware,Education,353297,Insider,Weak Passwords,58,14.5
Malware,IT,484009,Insider,Weak Passwords,41,20.85
Malware,Government,872411,Hacker Group,Zero-day,5,49.51
Man-in-the-Middle,Education,876348,Unknown,Social Engineering,1,26.14
SQL Injection,Government,11310,Hacker Group,Weak Passwords,71,13.76
SQL Injection,Retail,597358,Nation-state,Zero-day,30,72.21
SQL Injection,Healthcare,180456,Unknown,Unpatched Software,8,91.91
DDoS,Retail,368255,Nation-state,Social Engineering,17,79.06
Malware,Education,268414,Insider,Unpatched Software,9,7.17
SQL Injection,Healthcare,891504,Insider,Zero-day,63,79.28
Phishing,Healthcare,3395,Nation-state,Weak Passwords,58,48.25
Ransomware,Education,164890,Unknown,Weak Passwords,20,45.88
SQL Injection,Banking,895388,Insider,Social Engineering,54,89.8
SQL Injection,Telecommunications,436517,Nation-state,Weak Passwords,61,17.47
Phishing,IT,677164,Nation-state,Weak Passwords,7,70.85
Man-in-the-Middle,Banking,414192,Nation-state,Weak Passwords,34,93.13
Man-in-the-Middle,Retail,80069,Insider,Unpatched Software,8,39.73
Phishing,IT,604185,Unknown,Zero-day,57,1.28
SQL Injection,IT,807733,Unknown,Weak Passwords,18,83.99
SQL Injection,Telecommunications,945154,Nation-state,Social Engineering,63,16.51
Malware,Retail,918454,Unknown,Unpatched Software,15,62.43
Phishing,Retail,450205,Unknown,Zero-day,32,56.1
Malware,Telecommunications,476001,Hacker Group,Social Engineering,58,87.52
Phishing,IT,503520,Hacker Group,Zero-day,48,65.88
SQL Injection,Retail,457411,Nation-state,Zero-day,34,86.29
Malware,Education,580609,Unknown,Weak Passwords,29,62.82
Phishing,Banking,848022,Hacker Group,Social Engineering,10,18.45
Phishing,Education,761590,Unknown,Unpatched Software,45,75.42
DDoS,Education,366968,Nation-state,Social Engineering,47,17.68
Man-in-the-Middle,Education,625370,Insider,Social Engineering,24,27.95
Ransomware,Healthcare,193378,Unknown,Unpatched Software,32,60.01
DDoS,Healthcare,375691,Insider,Zero-day,21,92.34
SQL Injection,Banking,526324,Insider,Unpatched Software,39,7.21
Malware,Healthcare,50468,Hacker Group,Social Engineering,64,76.42
Phishing,IT,922656,Insider,Zero-day,17,3.2
Ransomware,Retail,498457,Insider,Weak Passwords,12,62.59
SQL Injection,Education,351850,Hacker Group,Social Engineering,21,89.04
DDoS,Retail,391982,Unknown,Social Engineering,46,76.95
Malware,Telecommunications,247243,Nation-state,Zero-day,69,51.66
Phishing,Banking,257190,Insider,Unpatched Software,14,39.33
SQL Injection,Retail,804658,Nation-state,Unpatched Software,23,89.77
Man-in-the-Middle,Education,758032,Insider,Social Engineering,30,75.95
DDoS,Telecommunications,381948,Unknown,Weak Passwords,46,13.31
DDoS,Retail,152435,Unknown,Weak Passwords,26,40.0
Ransomware,Banking,429566,Nation-state,Zero-day,54,99.9
Ransomware,Healthcare,496292,Nation-state,Zero-day,21,61.99
Man-in-the-Middle,Healthcare,943724,Insider,Unpatched Software,58,75.8
Man-in-the-Middle,Government,243600,Unknown,Weak Passwords,40,39.87
Phishing,IT,480386,Nation-state,Zero-day,18,48.96
Ransomware,Healthcare,564046,Insider,Social Engineering,39,70.67
Malware,Retail,50007,Nation-state,Weak Passwords,19,26.7
Malware,Retail,307143,Hacker Group,Social Engineering,1,99.72
DDoS,IT,356964,Insider,Unpatched Software,27,22.71
SQL Injection,Retail,891369,Hacker Group,Social Engineering,71,94.83
DDoS,Retail,482700,Insider,Unpatched Software,55,37.81
Phishing,Healthcare,596628,Hacker Group,Unpatched Software,60,42.93
Ransomware,Telecommunications,776295,Unknown,Zero-day,40,89.33
Phishing,Banking,447486,Insider,Weak Passwords,7,38.58
Man-in-the-Middle,Retail,298887,Nation-state,Zero-day,44,75.51
Ransomware,Government,59582,Nation-state,Unpatched Software,56,56.3
Ransomware,Healthcare,553944,Hacker Group,Social Engineering,64,6.67
Ransomware,Banking,507258,Nation-state,Social Engineering,30,80.29
DDoS,Government,82500,Hacker Group,Zero-day,28,94.6
SQL Injection,Retail,383781,Nation-state,Zero-day,57,27.54
Ransomware,Banking,647303,Insider,Zero-day,37,97.48
Phishing,IT,877998,Nation-state,Weak Passwords,23,68.23
SQL Injection,Government,631420,Nation-state,Unpatched Software,68,56.84
Ransomware,Telecommunications,263566,Hacker Group,Zero-day,64,84.79
Ransomware,Banking,65148,Nation-state,Weak Passwords,15,4.22
Ransomware,Telecommunications,345623,Unknown,Weak Passwords,67,58.73
Ransomware,IT,962452,Nation-state,Unpatched Software,34,60.43
Phishing,IT,951767,Nation-state,Weak Passwords,10,2.85
SQL Injection,Education,712306,Hacker Group,Social Engineering,29,43.55
Ransomware,Telecommunications,365116,Hacker Group,Social Engineering,66,11.83
Man-in-the-Middle,Banking,485702,Unknown,Unpatched Software,51,64.96
SQL Injection,IT,49480,Hacker Group,Social Engineering,17,19.37
Phishing,Education,971148,Insider,Unpatched Software,44,46.64
DDoS,Banking,513005,Unknown,Social Engineering,62,31.54
Malware,Retail,360381,Unknown,Zero-day,62,6.47
DDoS,Banking,649383,Unknown,Weak Passwords,59,96.23
SQL Injection,Banking,155736,Nation-state,Social Engineering,63,89.74
Malware,Healthcare,443715,Unknown,Social Engineering,54,54.29
DDoS,Telecommunications,683733,Nation-state,Zero-day,65,4.81
DDoS,Healthcare,400214,Unknown,Zero-day,58,42.16
Ransomware,IT,813472,Hacker Group,Zero-day,17,74.06
Ransomware,Banking,199832,Nation-state,Weak Passwords,54,27.1
Malware,IT,210495,Insider,Weak Passwords,18,22.04
Man-in-the-Middle,Education,923445,Hacker Group,Unpatched Software,42,49.53
Man-in-the-Middle,Education,407485,Insider,Unpatched Software,22,1.72
Man-in-the-Middle,Government,517452,Unknown,Zero-day,9,97.39
Ransomware,Retail,509742,Nation-state,Zero-day,43,68.73
Malware,Healthcare,412236,Nation-state,Weak Passwords,36,57.85
Malware,Healthcare,592988,Hacker Group,Unpatched Software,43,6.58
Ransomware,Banking,451510,Hacker Group,Zero-day,45,47.25
Ransomware,Education,144065,Insider,Unpatched Software,62,20.26
DDoS,Telecommunications,700440,Hacker Group,Weak Passwords,23,85.02
Phishing,IT,255689,Unknown,Zero-day,54,64.54
Malware,Retail,750473,Unknown,Zero-day,41,74.01
Malware,Government,284512,Nation-state,Social Engineering,23,68.8
Malware,Education,607544,Nation-state,Weak Passwords,56,76.8
Ransomware,Banking,61764,Hacker Group,Social Engineering,38,92.39
DDoS,Telecommunications,489053,Nation-state,Zero-day,29,11.73
SQL Injection,Telecommunications,8884,Nation-state,Weak Passwords,23,29.31
Ransomware,Retail,80135,Hacker Group,Social Engineering,35,91.67
Phishing,Retail,20064,Insider,Social Engineering,61,47.66
SQL Injection,Telecommunications,849940,Insider,Weak Passwords,61,95.74
Ransomware,Government,437649,Hacker Group,Weak Passwords,10,79.25
SQL Injection,Telecommunications,269137,Unknown,Unpatched Software,18,43.69
Malware,Telecommunications,233460,Insider,Unpatched Software,11,23.27
SQL Injection,Banking,474585,Nation-state,Unpatched Software,34,6.96
SQL Injection,Government,674211,Hacker Group,Weak Passwords,54,41.65
Phishing,Healthcare,267178,Nation-state,Social Engineering,56,18.79
DDoS,Healthcare,104121,Hacker Group,Zero-day,15,58.93
Ransomware,IT,217598,Hacker Group,Unpatched Software,24,83.29
Ransomware,Government,44082,Nation-state,Social Engineering,48,65.96
Phishing,Banking,31733,Hacker Group,Unpatched Software,49,71.58
Man-in-the-Middle,Banking,346224,Nation-state,Zero-day,64,34.16
DDoS,IT,419127,Unknown,Social Engineering,26,61.01
Man-in-the-Middle,Education,810539,Unknown,Weak Passwords,22,53.59
DDoS,Retail,692784,Hacker Group,Unpatched Software,2,11.79
SQL Injection,Retail,315050,Unknown,Unpatched Software,8,16.98
SQL Injection,IT,786464,Unknown,Weak Passwords,38,29.24
Man-in-the-Middle,IT,140061,Hacker Group,Weak Passwords,42,20.35
SQL Injection,IT,673923,Hacker Group,Unpatched Software,3,34.32
SQL Injection,Government,221051,Insider,Zero-day,18,35.88
SQL Injection,Banking,442940,Nation-state,Unpatched Software,7,33.84
SQL Injection,Telecommunications,677688,Nation-state,Zero-day,31,17.21
Ransomware,Education,679860,Unknown,Social Engineering,66,95.08
Phishing,Retail,963983,Unknown,Zero-day,45,27.85
DDoS,Retail,125100,Unknown,Weak Passwords,61,18.52
DDoS,Education,815317,Hacker Group,Social Engineering,72,81.31
Man-in-the-Middle,Retail,500252,Nation-state,Zero-day,29,34.82
DDoS,Education,512953,Unknown,Weak Passwords,57,55.3
Phishing,IT,337377,Hacker Group,Social Engineering,23,88.71
DDoS,Retail,766733,Insider,Zero-day,55,0.6
Malware,Retail,578310,Nation-state,Weak Passwords,15,50.02
Man-in-the-Middle,Telecommunications,255574,Insider,Social Engineering,69,12.96
Phishing,IT,169152,Nation-state,Unpatched Software,49,43.58
Man-in-the-Middle,IT,216472,Unknown,Zero-day,55,33.22
